id,name_en,name_ko,region,structure_type,sctid,fma,definition_en,source,is_anchor,tier,kind,laterality
SUR:091,front of knee,무릎 앞,무릎,표면,,,,수동(구역),,3,surface,left_right
SUR:092,back of knee,무릎 뒤(오금),무릎,표면,,,,수동(구역),,3,surface,left_right
SUR:093,inner knee,무릎 안쪽,무릎,표면,,,,수동(구역),,3,surface,left_right
SUR:094,outer knee,무릎 바깥쪽,무릎,표면,,,,수동(구역),,3,surface,left_right
SUR:101,ankle,발목,발목·발,표면,,,,수동(구역),,3,surface,left_right
SUR:102,top of foot,발등,발목·발,표면,,,,수동(구역),,3,surface,left_right
SUR:103,sole,발바닥,발목·발,표면,,,,수동(구역),,3,surface,left_right
SUR:104,heel,발뒤꿈치,발목·발,표면,,,,수동(구역),,3,surface,left_right
SUR:105,toes,발가락,발목·발,표면,,,,수동(구역),,3,surface,left_right
MAN:001,medial collateral ligament of knee,안쪽곁인대(내측측부인대),무릎,인대,,,,수동(UBERON에 없음 - FMA/SNOMED 확인 필요),,3,structure,left_right
MAN:002,lateral collateral ligament of knee,가쪽곁인대(외측측부인대),무릎,인대,,,,수동(UBERON에 없음),,3,structure,left_right
MAN:003,medial meniscus,안쪽반달연골(내측반월판),무릎,연골,,,,수동(UBERON meniscus는 무릎 하위가 아님),,3,structure,left_right
MAN:004,lateral meniscus,가쪽반달연골(외측반월판),무릎,연골,,,,수동(같음),,3,structure,left_right
MAN:005,articular cartilage of knee,무릎 관절연골,무릎,연골,,,,수동(UBERON에 없음),,3,structure,left_right
UBERON:0001485,knee joint,무릎관절(슬관절),무릎,관절,182204005,35175,"The knee joint joins the thigh with the leg and consists of two articulations: one between the femur and tibia, and one between the femur and patella. It is the largest and most complicated joint in t",UBERON,,3,structure,left_right
UBERON:0001510,skin of knee,무릎 피부,무릎,피부,181552001,37800,A zone of skin that is part of a knee [Automatically generated definition].,UBERON,,3,structure,left_right
UBERON:0002446,patella,무릎뼈(슬개골),무릎,뼈,182083008,24485,A large sesamoid bone found in the distal femur/proximal tibial region of the hindlimb of tetrapods. The patella is the attachment site for proximal hindlimb tendons.[PHENOSCAPE:ad].,UBERON,,3,structure,left_right
UBERON:0003577,knee connective tissue,무릎 결합조직,무릎,결합조직,,,A portion of connective tissue that is part of a knee [Automatically generated definition].,UBERON,,3,structure,left_right
